date_sunday,Geography,lowespos.pos_qty,lowespos.sales_lowes_bw,rtop_instapost_o.impressions,rtop_instapost_o.engagement,rtop_instapost_o.likes,rtop_instapost_o.comments,rtop_instapost_o.direct_message,rtop_instapost_o.saves,rtop_instapost_o.views,rtop_instapost_o.hashtags,rtop_instapost_o.follows,rtop_instastory_o.impressions,rtop_instastory_o.clicks,rtop_instastory_o.interactions,rtop_twitterpost_o.impressions,rtop_twitterpost_o.engagement,rtop_twitterpost_o.likes,rtop_twitterpost_o.replies,rtop_twitterpost_o.retweets,rtop_twitterpost_o.clicks,rtop_twitterpost_o.views,rtop_fbpost_o.impressions,rtop_fbpost_o.engagements,rtop_fbpost_o.likes,rtop_fbpost_o.comments,rtop_fbpost_o.shares,rtop_fbpost_o.clicks,rtop_fbpost_o.video_views,fbadman_fbads_p.impressions,fbadman_fbads_p.reach,fbadman_fbads_p.amount_spent_usd,fbadman_fbads_p.clicks,fbadman_fbads_p.landing_page_views,merkle_email_p.n_sent,merkle_email_p.n_clicks,merkle_email_p.n_unsub,merkle_email_p.n_bounces,merkle_email_p.n_opens,GA_search_p.newUsers,GA_search_p.organicSearches,GA_search_p.sessions,GA_search_p.hits,GA_search_p.impressions,GA_search_p.adClicks,GA_search_p.adCost,GA_search_p.bounceRate,lowes_comaek_p.BANNER AD ON CATEGORY PAGE_impr,lowes_comaek_p.BANNER AD ON LOWES.COM_impr,lowes_comaek_p.BANNER AD ON LOWESFORPROS.COM_impr,lowes_comaek_p.CATEGORY BANNER AD ON LOWES.COM_impr,lowes_comaek_p.CATEGORY LEVEL SEARCH_impr,lowes_comaek_p.CATEGORY TEXT_impr,lowes_comaek_p.DIGITAL RETARGETING_impr,lowes_comaek_p.DISPLAY_impr,lowes_comaek_p.DISPLAY RETARGETING_impr,lowes_comaek_p.DIY EMAIL_impr,lowes_comaek_p.DIY RADIO_impr,lowes_comaek_p.EMAIL_impr,lowes_comaek_p.EVENT SIGNAGE_impr,lowes_comaek_p.FLIPP_impr,lowes_comaek_p.HOME PAGE BANNER AD ON LOWESFORPROS.COM_impr,lowes_comaek_p.PRO EMAIL_impr,lowes_comaek_p.PRO RADIO_impr,lowes_comaek_p.SEARCH_impr,lowes_comaek_p.SHOPPING SEARCH ADS_impr,lowes_comaek_p.SOCIAL_impr,lowes_comaek_p.STREAMING AUDIO_impr,lowes_comaek_p.TAB_impr,corp_gum_social.views,corp_gum_social.engagements,corp_gum_broadcast.exposures,corp_gum_broadcast.duration,corp_mlb_broadcast.exposures,corp_mlb_social.total_likes,corp_mlb_social.total_comments,corp_mlb_social.total_shares,ext.avg_weekly_wage_rate,ext.inflation_rate_All_Urban_Consumers_Chained_CPI,ext.no_of_holidays,ext.Active_covid_cases,ext.Confirmed_covid_cases,ext.covid_Deaths,ext.covid_Recoveries,lowes_prom.rsa_nlp,lowes_prom.rsa_bogo,lowes_prom.rsa_dotd,lowes_prom.rsa_spv,lowes_prom.rsa_other,lowes_prom.rsa_pcr,lowes_prom.rsa_blanket,lowes_prom.rsa_rsa,unempl_rate,rtop_instapost_o.impressions_adstock,rtop_twitterpost_o.impressions_adstock,rtop_instapost_o.impressions_saturated,rtop_twitterpost_o.impressions_saturated,rtop_instapost_o.impressions_lag1,rtop_instapost_o.impressions_lag2,rtop_twitterpost_o.impressions_lag1,rtop_twitterpost_o.impressions_lag2
01-06-2019,Africa,,,1.6161331071547211,10730,10151,214,125,240,9151,6228,54,0,0,0,-0.2475570519938464,128,33,4,5,4,0,174618,1156,934,133,89,0,20024,1315734,957597,5339.72,10947,4172,185634,6045,148,2050,42929,54826,34949,74813,318617,0,0,0.0,0.492868799,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1075.584906,0.213127827,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,82825.00081,0.0,0.0,3.6,229758.0,6018.0,479.3307834888137,77.57576941287789,,,,
13-01-2019,Asia,248060.0,5962846.6,0.5576007980099768,7595,7185,156,99,155,5388,1535,16,0,0,0,-0.19658898231224367,374,69,3,10,15,463,204063,989,875,85,29,10200,11054,1679510,1204203,8418.97,22631,12198,336700,18839,156,1116,66656,63539,35471,83916,337872,0,0,0.0,0.520063119,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1075.584906,0.213127827,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,82825.00081,0.0,0.0,4.0,306443.8,17351.8,553.5736626683029,131.72623125254893,229758.0,,6018.0,
20-01-2019,Europe,244539.0,5769377.35,1.16120077419021,9637,9243,147,39,208,0,1972,23,0,0,0,-0.26204959129473976,134,11,0,2,7,0,74924,280,234,35,11,1677,0,1389351,987867,7403.52,13737,6606,207023,12048,159,2888,55699,58758,34877,79326,331990,0,0,0.0,0.478006183,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1075.584906,0.213127827,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,82825.00081,0.0,0.0,4.0,387335.28,14233.08,622.3626595482734,119.3024727321274,168589.0,229758.0,13741.0,6018.0
27-01-2019,North America,244386.0,5834679.08,-0.33696620797227594,4710,4501,71,12,126,0,2125,7,0,0,0,0.11130488314489646,1246,217,12,28,77,0,139242,613,502,79,32,1631,0,1474164,1127654,8338.93,12112,6111,50519,6899,122,577,28519,54584,33075,73140,301240,10828,1553,1555.59,0.495877805,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1075.584906,0.213127827,0,0,0,0,0,24710.73077,11340.0,87.5,0.0,9807.692308,93744.9803,3076.923077,0.0,4.0,349296.168,68934.848,591.0128323479956,262.55446673023863,203469.0,168589.0,3822.0,13741.0
02-03-2019,South America,259541.0,6145476.51,0.9072492360467203,7530,7183,137,22,188,4339,4359,51,23782,209,263,-0.21770743666691528,136,30,3,5,0,813,201156,2008,1557,193,258,0,17487,598772,445446,3487.01,4062,1242,222524,14151,175,1015,65487,50941,31368,70960,282139,39613,4845,4865.79,0.503585173,0,0.0,0,0,0,0,4200000.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,95232.0,5172.0,0,0,0,0,0,0,1075.584906,0.401405624,0,0,0,0,0,27044.0641,11340.0,87.5,0.0,12141.02564,85385.78414,3076.923077,0.0,3.8,398371.7008,51901.9088,631.1669357626396,227.8199043104004,116895.0,203469.0,60395.0,3822.0
02-10-2019,Africa,257132.0,6233340.12,0.11360525360469456,6263,4469,1593,72,129,10454,6264,72,0,0,0,1.3604218611218062,6793,1202,1522,339,945,40316,503119,4769,3582,889,298,7275,62407,1074082,828364,6184.54,12820,7644,222649,16943,143,1097,66696,56192,32183,77107,315327,47605,5638,4921.01,0.506663662,0,0.0,0,0,0,0,4200000.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,114365.0,8835.0,0,0,0,0,0,0,1075.584906,0.401405624,0,0,0,0,0,27044.0641,11340.0,87.5,0.0,12141.02564,85385.78414,3076.923077,0.0,3.6,381955.02047999995,280810.14528,618.0250969661345,529.9152246161644,188794.0,116895.0,10541.0,60395.0
17-02-2019,Asia,274546.0,6437756.28,1.691946510126212,8604,8206,115,41,242,23312,2201,70,0,0,0,-0.2395914349919437,225,35,1,3,26,0,94098,358,243,100,15,1357,0,1048759,792138,5918.57,9930,5984,223685,14991,161,2356,68054,62099,33078,85847,376370,47548,5628,4690.92,0.506436329,0,0.0,0,0,0,0,4200000.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,122489.0,12708.0,6,18,0,0,0,0,1075.584906,0.401405624,1,0,0,0,0,27044.0641,11340.0,87.5,0.0,12141.02564,85385.78414,3076.923077,0.0,3.8,463312.01228799997,175711.087168,680.6702669339979,419.1790633702976,142932.0,188794.0,249669.0,10541.0
24-02-2019,Europe,289446.0,6785919.37,-0.20506715354435917,3779,3623,55,50,51,0,2191,5,0,0,0,-0.060949109702379545,904,99,5,12,27,0,51772,221,185,33,3,1294,0,690022,539059,3998.09,6731,3897,223985,8235,165,2014,53936,58126,33281,80416,350389,51749,6419,4682.64,0.524571803,0,0.0,0,0,0,0,4200000.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,69881.0,226.0,0,0,0,0,0,0,1075.584906,0.401405624,0,0,0,0,0,37476.89744,11340.0,87.5,0.0,12141.02564,180200.0771,3076.923077,0.0,3.8,402504.2073728,139720.6523008,634.4321928880973,373.7922582141048,234139.0,142932.0,7225.0,249669.0
03-03-2019,North America,324426.0,7804684.44,-0.12169144582542674,4578,4367,69,67,75,0,2083,10,0,0,0,-0.1789550729260929,532,78,6,16,20,0,75269,515,412,91,12,3309,0,1305714,978657,8417.96,11036,7517,221625,6482,167,277,52611,59736,34088,81430,363125,78808,7290,6342.29,0.504204841,0,0.0,0,0,0,0,4200000.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,25119.0,7685.0,0,0,0,0,0,0,1075.584906,0.509219968,0,0,0,0,0,37476.89744,11340.0,87.5,0.0,12141.02564,180200.0771,3076.923077,0.0,3.8,370837.52442368,100245.39138048,608.9643047204655,316.61552612037207,124517.0,234139.0,34294.0,7225.0
03-10-2019,South America,360337.0,8407546.04,-0.9328481339983697,3165,3039,45,14,67,7165,2760,19,27446,107,150,-0.13174872792641606,514,139,8,23,27,835,115233,1058,907,90,61,6389,24553,1905165,1534271,11792.95,17358,13029,221292,6602,126,578,56683,70163,36001,93251,364478,92646,7600,5735.1,0.538641655,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,1718657.0,22497.0,0,0,0,0,0,0,1075.584906,0.509219968,0,0,0,0,0,37476.89744,11340.0,87.5,0.0,12141.02564,180200.0771,3076.923077,0.0,3.6,304963.514654208,83713.234828288,552.2350175914308,289.3323950550439,129335.0,124517.0,16413.0,34294.0
